,,,Apr-24,Apr-24,May-24,May-24,Jun-24,Jun-24,Jul-24,Jul-24,Aug-24,Aug-24,Sep-24,Sep-24,Oct-24,Oct-24,Nov-24,Nov-24,Dec-24,Dec-24,Jan-25,Jan-25,Feb-25,Feb-25,Mar-25,Mar-25
Expense,Customer support Expense,211513,7696651.86,,7020222.1,,7542341.9,,7850539.8,,7471606.9,,7365020.988,,7300839.264,,7099449.544,,7176994.566,,7293647.28,,7562412.49,,7806734.266,
Expense,Depreciation Expense,211514,337777.7778,,344305.5556,,355694.4444,,371666.6667,,383750,,396805.5556,,410416.6667,,424583.3333,,437777.7778,,448472.2222,,462916.6667,,479583.3333,
Expense,Exchange Gain or Loss,211515,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Inter-company,211516,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Interest Expense,211517,0,,0,,0,,0,,0,,937500,,1859375,,1828125,,1796875,,1765625,,1734375,,1703125,
Expense,IT and Internet Expenses,211518,360421,,371256,,379108,,383181,,375764,,369837,,377997,,386205,,395024,,403803,,417829,,427429,
Expense,Janitorial Expense,211519,44540,,41352,,49381,,52226,,57819,,59658,,42927,,44196,,48913,,43399,,41906,,43711,
Expense,Job Costing,211520,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Labor,211521,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Lease Rental,211522,55935000,,58950000,,64372500,,64440000,,63990000,,64575000,,62235000,,62370000,,63652500,,67432500,,77062500,,77377500,
Expense,Maintenance Expense,211523,1258715.9,,1268007.657,,1517369.684,,2689492.759,,2147985.424,,3204184.162,,2561617.389,,2148582.939,,3462481.216,,3361243.143,,4024586.475,,2501990.44,
Expense,Meals and Entertainment,211524,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Merchandise,211525,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Office Supplies,211526,145133,,190090,,102272,,184080,,172589,,220762,,178826,,257094,,144621,,176813,,236657,,269474,
Expense,Other Expenses,211527,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Payment Gateway Charges,211528,2095861.781,,2397535.465,,2575730.959,,2702913.096,,2429880.501,,2294271.938,,2462565.651,,2678985.495,,2888394.35,,3112356.037,,3230948.509,,3457291.919,
Expense,Postage,211529,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Printing and Stationery,211530,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Purchase Discounts,211531,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Raw Materials And Consumables,211532,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Rent Expense,211533,781000,,781000,,781000,,781000,,781000,,781000,,781000,,781000,,781000,,781000,,781000,,781000,
Expense,Repairs and Maintenance,211534,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Servicing Expense,211536,3575023.904,,3504709.566,,4525044.623,,4395100.67,,3949231.212,,4554001.88,,4104851.533,,4809472.337,,4767447.07,,5185335.417,,6016961.959,,5960570.851,
Expense,Salaries and Employee Wages,211537,15992924.26,,15586520.13,,15869212.39,,16788491.06,,16935778.7,,17130034.21,,17793630.96,,19891076.68,,20236908.5,,19619543.34,,21269430.67,,21770499.2,
Expense,Site Rental,211538,1245000,,1315000,,1305000,,1305000,,1295000,,1305000,,1260000,,1265000,,1290000,,1365000,,1390000,,1435000,
Expense,Telephone Expense,211539,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Transportation Expense,211540,541222,,707581,,1178959,,678572,,984671,,1161827,,801530,,555722,,529406,,1126626,,1177848,,962032,
Expense,Travel Expense,211541,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Uncategorized,211542,,,,,,,,,,,,,,,,,,,,,,,,
